Offence group,Code,Community safety partnership,Police force area,Crime Severity Score Apr 15 - Mar 16,Crime Severity Score Apr 16 - Mar 17,Crime Severity Score Apr 17 - Mar 18,Crime Severity Score Apr 18 - Mar 19,Crime Severity Score Apr 19 - Mar 20,Crime Severity Score Apr 20 - Mar 21,"Offence rate per 1,000 population Apr 15 - Mar 16","Offence rate per 1,000 population Apr 16 - Mar 17","Offence rate per 1,000 population Apr 17 - Mar 18","Offence rate per 1,000 population Apr 18 - Mar 19","Offence rate per 1,000 population Apr 19 - Mar 20","Offence rate per 1,000 population Apr 20 - Mar 21"
Criminal damage and arson,E07000135,Oadby and Wigston,Leicestershire,0.2,0.1,0.1,0.1,0.2,0.1,7,6,7,7,8,6
Criminal damage and arson,E06000017,Rutland,Leicestershire,0.1,0.1,0.1,0.1,0.1,0.1,4,4,4,5,5,5
Criminal damage and arson,E07000136,Boston,Lincolnshire,0.2,0.2,0.2,0.3,0.2,0.2,9,7,8,9,8,7
Criminal damage and arson,E07000137,East Lindsey,Lincolnshire,0.2,0.2,0.3,0.3,0.3,0.2,7,8,8,10,9,8
Criminal damage and arson,E07000138,Lincoln,Lincolnshire,0.3,0.3,0.4,0.4,0.4,0.4,14,12,13,14,17,14
Criminal damage and arson,E07000139,North Kesteven,Lincolnshire,0.1,0.1,0.1,0.1,0.1,0.1,4,4,4,5,5,4
Criminal damage and arson,E07000140,South Holland,Lincolnshire,0.1,0.1,0.2,0.2,0.2,0.1,7,6,6,7,8,6
Criminal damage and arson,E07000141,South Kesteven,Lincolnshire,0.1,0.2,0.1,0.2,0.2,0.2,6,6,6,7,8,6
Criminal damage and arson,E07000142,West Lindsey,Lincolnshire,0.2,0.2,0.2,0.2,0.2,0.2,7,8,8,9,8,8
Criminal damage and arson,E08000011,Knowsley,Merseyside,0.3,0.3,0.4,0.3,0.3,0.3,13,12,13,12,12,10
Criminal damage and arson,E08000012,Liverpool,Merseyside,0.3,0.4,0.4,0.3,0.3,0.3,13,14,14,13,12,11
Criminal damage and arson,E08000014,Sefton,Merseyside,0.2,0.3,0.3,0.2,0.2,0.2,9,10,10,9,9,8
Criminal damage and arson,E08000013,St. Helens,Merseyside,0.2,0.3,0.3,0.3,0.3,0.2,13,13,14,11,11,10
Criminal damage and arson,E08000015,Wirral,Merseyside,0.3,0.2,0.2,0.2,0.3,0.2,11,11,12,11,10,8
Criminal damage and arson,E09000002,Barking and Dagenham,Metropolitan Police,0.2,0.2,0.2,0.1,0.1,0.1,9,9,8,7,7,6
Criminal damage and arson,E09000003,Barnet,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,6,6,5,5,5,5
Criminal damage and arson,E09000004,Bexley,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,6,7,7,6,7,5
Criminal damage and arson,E09000005,Brent,Metropolitan Police,0.1,0.1,0.2,0.1,0.1,0.2,6,7,7,6,6,6
Criminal damage and arson,E09000006,Bromley,Metropolitan Police,0.2,0.1,0.2,0.1,0.1,0.1,7,7,7,6,6,5
Criminal damage and arson,E09000007,Camden,Metropolitan Police,0.1,0.2,0.1,0.1,0.1,0.1,8,8,7,7,6,5
Criminal damage and arson,E09000008,Croydon,Metropolitan Police,0.2,0.2,0.1,0.2,0.1,0.2,8,8,8,7,6,6
Criminal damage and arson,E09000009,Ealing,Metropolitan Police,0.1,0.2,0.2,0.1,0.1,0.1,7,7,7,6,6,6
Criminal damage and arson,E09000010,Enfield,Metropolitan Police,0.1,0.2,0.2,0.2,0.1,0.1,6,6,6,6,6,5
Criminal damage and arson,E09000011,Greenwich,Metropolitan Police,0.2,0.2,0.2,0.2,0.2,0.1,9,9,8,8,8,6
Criminal damage and arson,E09000012,Hackney,Metropolitan Police,0.2,0.2,0.2,0.2,0.2,0.1,7,7,7,7,6,6
Criminal damage and arson,E09000013,Hammersmith and Fulham,Metropolitan Police,0.2,0.2,0.2,0.1,0.2,0.1,8,8,7,7,7,6
Criminal damage and arson,E09000014,Haringey,Metropolitan Police,0.2,0.2,0.2,0.2,0.1,0.2,8,8,8,7,6,6
Criminal damage and arson,E09000015,Harrow,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,5,5,4,4,4,4
Criminal damage and arson,E09000016,Havering,Metropolitan Police,0.2,0.2,0.1,0.1,0.1,0.1,7,7,7,5,5,4
Criminal damage and arson,E09000017,Hillingdon,Metropolitan Police,0.2,0.2,0.2,0.2,0.1,0.1,8,8,8,7,7,6
Criminal damage and arson,E09000018,Hounslow,Metropolitan Police,0.2,0.2,0.1,0.2,0.2,0.1,8,8,7,7,7,6
Criminal damage and arson,E09000019,Islington,Metropolitan Police,0.3,0.2,0.2,0.1,0.1,0.1,9,8,7,7,6,6
Criminal damage and arson,E09000020,Kensington and Chelsea,Metropolitan Police,0.1,0.1,0.1,0.2,0.1,0.1,6,6,7,7,6,6
Criminal damage and arson,E09000021,Kingston upon Thames,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,6,6,6,5,5,4
Criminal damage and arson,E09000022,Lambeth,Metropolitan Police,0.2,0.2,0.2,0.2,0.1,0.1,8,8,8,7,6,6
Criminal damage and arson,E09000023,Lewisham,Metropolitan Police,0.2,0.1,0.1,0.2,0.2,0.1,8,8,7,7,7,7
Criminal damage and arson,E09000024,Merton,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,7,6,6,6,5,5
Criminal damage and arson,E09000025,Newham,Metropolitan Police,0.2,0.2,0.2,0.2,0.2,0.2,7,7,6,7,6,6
Criminal damage and arson,E09000026,Redbridge,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,5,5,6,5,5,4
Criminal damage and arson,E09000027,Richmond upon Thames,Metropolitan Police,0.1,0.1,0.1,0.1,0.1,0.1,6,6,5,5,5,5
Criminal damage and arson,E09000028,Southwark,Metropolitan Police,0.2,0.2,0.2,0.2,0.1,0.1,8,8,8,7,7,6
Criminal damage and arson,E09000029,Sutton,Metropolitan Police,0.1,0.1,0.1,0.2,0.1,0.1,6,6,6,6,5,4
Criminal damage and arson,E09000030,Tower Hamlets,Metropolitan Police,0.2,0.2,0.2,0.2,0.2,0.2,8,8,7,7,7,6
Criminal damage and arson,E09000031,Waltham Forest,Metropolitan Police,0.2,0.2,0.1,0.1,0.1,0.1,7,7,6,6,6,5
Criminal damage and arson,E09000032,Wandsworth,Metropolitan Police,0.2,0.1,0.2,0.1,0.1,0.1,6,6,6,5,5,5
Criminal damage and arson,E09000033,Westminster,Metropolitan Police,0.1,0.1,0.2,0.2,0.1,0.1,9,9,9,10,9,8
Criminal damage and arson,E07000143,Breckland,Norfolk,0.2,0.1,0.1,0.2,0.2,0.2,8,7,7,7,8,6
Criminal damage and arson,E07000144,Broadland,Norfolk,0.1,0.1,0.1,0.1,0.1,0.1,6,5,5,6,6,5
Criminal damage and arson,E07000145,Great Yarmouth,Norfolk,0.3,0.3,0.3,0.3,0.2,0.2,13,13,14,13,12,11
Criminal damage and arson,E07000146,King's Lynn and West Norfolk,Norfolk,0.1,0.2,0.2,0.2,0.2,0.1,8,7,8,8,8,7
Criminal damage and arson,E07000147,North Norfolk,Norfolk,0.1,0.1,0.1,0.1,0.2,0.1,5,5,6,5,7,5
Criminal damage and arson,E07000148,Norwich,Norfolk,0.3,0.3,0.3,0.3,0.4,0.3,14,14,14,14,14,12
Criminal damage and arson,E07000149,South Norfolk,Norfolk,0.1,0.1,0.1,0.1,0.2,0.1,6,6,5,6,7,5
Criminal damage and arson,W06000003,Conwy,North Wales,0.2,0.2,0.2,0.3,0.3,0.2,10,9,10,11,11,9
Criminal damage and arson,W06000004,Denbighshire,North Wales,0.2,0.2,0.3,0.3,0.2,0.2,11,11,11,12,13,9
Criminal damage and arson,W06000005,Flintshire,North Wales,0.2,0.2,0.2,0.3,0.2,0.2,10,9,10,9,9,8
Criminal damage and arson,W06000002,Gwynedd,North Wales,0.2,0.2,0.3,0.3,0.3,0.2,9,9,10,9,10,9
Criminal damage and arson,W06000001,Isle of Anglesey,North Wales,0.2,0.2,0.2,0.2,0.2,0.2,8,8,9,9,9,8
Criminal damage and arson,W06000006,Wrexham,North Wales,0.4,0.4,0.4,0.5,0.5,0.3,15,13,15,14,13,12
Criminal damage and arson,E06000014,City of York,North Yorkshire,0.1,0.1,0.1,0.1,0.1,0.1,8,8,8,8,7,6
Criminal damage and arson,E10000023,North Yorkshire,North Yorkshire,0.2,0.1,0.1,0.2,0.1,0.1,7,7,7,7,7,6
Criminal damage and arson,E07000150,Corby,Northamptonshire,0.4,0.3,0.2,0.3,0.3,0.3,11,10,10,10,11,9
Criminal damage and arson,E22000357,Daventry and South Northamptonshire,Northamptonshire,0.2,0.2,0.2,0.2,0.2,0.1,6,7,6,6,6,5
Criminal damage and arson,E07000152,East Northamptonshire,Northamptonshire,0.2,0.2,0.2,0.1,0.2,0.1,8,8,8,7,7,6
Criminal damage and arson,E07000153,Kettering,Northamptonshire,0.2,0.3,0.2,0.2,0.2,0.2,10,10,8,9,8,8
Criminal damage and arson,E07000154,Northampton,Northamptonshire,0.3,0.4,0.3,0.3,0.2,0.3,13,14,12,11,11,10
Criminal damage and arson,E07000156,Wellingborough,Northamptonshire,0.2,0.3,0.3,0.3,0.3,0.3,11,11,12,12,11,10
Criminal damage and arson,E08000037,Gateshead,Northumbria,0.3,0.3,0.4,0.4,0.4,0.3,13,16,16,15,14,12
Criminal damage and arson,E08000021,Newcastle upon Tyne,Northumbria,0.3,0.3,0.4,0.5,0.4,0.3,15,17,19,19,16,13
Criminal damage and arson,E08000022,North Tyneside,Northumbria,0.2,0.3,0.3,0.3,0.3,0.3,10,14,14,14,13,11
Criminal damage and arson,E06000057,Northumberland,Northumbria,0.2,0.2,0.3,0.2,0.2,0.2,10,12,14,12,11,10
Criminal damage and arson,E08000023,South Tyneside,Northumbria,0.2,0.3,0.3,0.4,0.4,0.4,14,16,16,16,16,13
Criminal damage and arson,E08000024,Sunderland,Northumbria,0.3,0.4,0.5,0.4,0.5,0.5,14,15,17,18,18,16
Criminal damage and arson,E07000170,Ashfield,Nottinghamshire,0.2,0.2,0.3,0.3,0.2,0.2,11,11,13,12,12,10
Criminal damage and arson,E07000171,Bassetlaw,Nottinghamshire,0.3,0.3,0.3,0.3,0.3,0.3,10,10,11,12,11,9
Criminal damage and arson,E07000174,Mansfield,Nottinghamshire,0.2,0.2,0.3,0.3,0.3,0.2,11,11,13,13,13,10
Criminal damage and arson,E07000175,Newark and Sherwood,Nottinghamshire,0.2,0.1,0.2,0.2,0.3,0.2,8,8,10,9,10,8
Criminal damage and arson,E06000018,Nottingham,Nottinghamshire,0.3,0.3,0.3,0.4,0.3,0.2,13,13,14,13,12,10
Criminal damage and arson,E22000366,South Nottinghamshire,Nottinghamshire,0.1,0.1,0.1,0.2,0.2,0.1,6,6,7,6,6,5
Criminal damage and arson,W06000013,Bridgend,South Wales,0.2,0.2,0.2,0.2,0.2,0.2,9,9,8,7,8,7
Criminal damage and arson,W06000015,Cardiff,South Wales,0.2,0.2,0.2,0.2,0.2,0.2,11,11,11,12,11,9
Criminal damage and arson,W14000023,Cwm Taf,South Wales,0.3,0.3,0.2,0.2,0.2,0.2,11,10,10,9,9,8
Criminal damage and arson,W06000012,Neath Port Talbot,South Wales,0.2,0.2,0.2,0.2,0.2,0.2,9,9,9,9,8,7
Criminal damage and arson,W06000011,Swansea,South Wales,0.2,0.2,0.2,0.3,0.2,0.2,10,11,10,11,9,8
Criminal damage and arson,W06000014,Vale of Glamorgan,South Wales,0.1,0.2,0.2,0.2,0.1,0.1,9,10,9,8,8,7
Criminal damage and arson,E08000016,Barnsley,South Yorkshire,0.3,0.4,0.5,0.4,0.5,0.5,13,13,14,13,13,12
Criminal damage and arson,E08000017,Doncaster,South Yorkshire,0.4,0.4,0.6,0.5,0.4,0.5,15,16,17,16,14,13
Criminal damage and arson,E08000018,Rotherham,South Yorkshire,0.3,0.3,0.4,0.4,0.4,0.3,13,13,13,12,11,9
Criminal damage and arson,E08000019,Sheffield,South Yorkshire,0.3,0.3,0.3,0.3,0.3,0.4,12,13,13,11,11,10
Criminal damage and arson,E07000192,Cannock Chase,Staffordshire,0.2,0.1,0.2,0.2,0.2,0.1,8,9,9,9,8,6
Criminal damage and arson,E07000193,East Staffordshire,Staffordshire,0.2,0.2,0.2,0.2,0.2,0.1,8,9,8,8,8,5
Criminal damage and arson,E07000194,Lichfield,Staffordshire,0.1,0.1,0.2,0.2,0.1,0.1,6,6,6,6,6,5
Criminal damage and arson,E07000195,Newcastle-under-Lyme,Staffordshire,0.2,0.3,0.3,0.2,0.2,0.2,10,10,10,9,9,6
Criminal damage and arson,E07000196,South Staffordshire,Staffordshire,0.2,0.1,0.2,0.2,0.2,0.1,5,5,6,6,6,5
Criminal damage and arson,E07000197,Stafford,Staffordshire,0.1,0.1,0.1,0.1,0.2,0.1,6,7,7,7,6,6
Criminal damage and arson,E07000198,Staffordshire Moorlands,Staffordshire,0.1,0.2,0.2,0.2,0.2,0.1,7,8,8,8,7,6
Criminal damage and arson,E06000021,Stoke-on-Trent,Staffordshire,0.3,0.4,0.4,0.4,0.4,0.4,15,16,17,16,15,12
Criminal damage and arson,E07000199,Tamworth,Staffordshire,0.2,0.3,0.2,0.2,0.1,0.1,10,11,9,8,7,6
Criminal damage and arson,E07000200,Babergh,Suffolk,0,0.2,0.1,0.1,0.1,0.2,1,7,7,7,6,6
Criminal damage and arson,E07000244,East Suffolk,Suffolk,0,0.2,0.2,0.1,0.2,0.2,1,9,10,8,8,7
Criminal damage and arson,E07000202,Ipswich,Suffolk,0,0.3,0.4,0.3,0.3,0.2,2,13,14,13,12,9
Criminal damage and arson,E07000203,Mid Suffolk,Suffolk,0,0.1,0.1,0.1,0.1,0.1,0,6,6,5,6,4
Criminal damage and arson,E07000245,West Suffolk,Suffolk,0,0.2,0.2,0.2,0.2,0.2,1,8,8,8,9,7
Criminal damage and arson,E22000373,Western Suffolk,Suffolk,:,:,:,:,:,:,:,:,:,:,:,:
Criminal damage and arson,E07000207,Elmbridge,Surrey,0.1,0.1,0.2,0.1,0.1,0.1,7,7,8,7,7,6
Criminal damage and arson,E07000208,Epsom and Ewell,Surrey,0.1,0.1,0.2,0.2,0.2,0.1,8,7,8,8,8,6
Criminal damage and arson,E07000209,Guildford,Surrey,0.1,0.1,0.2,0.2,0.2,0.1,8,8,8,8,8,6
Criminal damage and arson,E07000210,Mole Valley,Surrey,0.1,0.1,0.1,0.1,0.1,0.1,6,7,6,7,7,6
Criminal damage and arson,E07000211,Reigate and Banstead,Surrey,0.1,0.2,0.2,0.2,0.2,0.2,8,8,8,8,8,6
Criminal damage and arson,E07000212,Runnymede,Surrey,0.2,0.2,0.2,0.2,0.2,0.1,8,7,9,8,9,8
Criminal damage and arson,E07000213,Spelthorne,Surrey,0.2,0.2,0.2,0.2,0.2,0.2,8,9,10,11,10,9
Criminal damage and arson,E07000214,Surrey Heath,Surrey,0.1,0.1,0.1,0.2,0.2,0.1,6,6,6,7,7,5
Criminal damage and arson,E07000215,Tandridge,Surrey,0.3,0.2,0.2,0.2,0.2,0.2,12,12,12,10,11,8
Criminal damage and arson,E07000216,Waverley,Surrey,0.1,0.1,0.1,0.1,0.1,0.1,6,6,6,7,7,6
Criminal damage and arson,E07000217,Woking,Surrey,0.1,0.1,0.2,0.2,0.2,0.1,8,7,9,9,7,6
Criminal damage and arson,E07000223,Adur,Sussex,0.1,0.2,0.2,0.2,0.2,0.2,8,8,9,6,8,8
Criminal damage and arson,E07000224,Arun,Sussex,0.2,0.2,0.2,0.2,0.2,0.2,8,8,9,9,8,8
Criminal damage and arson,E06000043,Brighton and Hove,Sussex,0.2,0.2,0.2,0.2,0.2,0.2,10,10,9,9,10,10
Criminal damage and arson,E07000225,Chichester,Sussex,0.1,0.1,0.1,0.2,0.2,0.1,6,7,6,8,7,6
Criminal damage and arson,E07000226,Crawley,Sussex,0.2,0.3,0.2,0.2,0.3,0.2,10,11,11,10,10,8
Criminal damage and arson,E07000061,Eastbourne,Sussex,0.1,0.2,0.2,0.2,0.3,0.2,10,11,12,11,11,9
Criminal damage and arson,E07000062,Hastings,Sussex,0.2,0.3,0.3,0.3,0.4,0.2,13,14,14,13,15,12
Criminal damage and arson,E07000227,Horsham,Sussex,0.1,0.2,0.1,0.1,0.1,0.1,7,6,5,6,6,5
Criminal damage and arson,E07000063,Lewes,Sussex,0.1,0.2,0.2,0.2,0.2,0.2,7,8,7,7,7,6
Criminal damage and arson,E07000228,Mid Sussex,Sussex,0.1,0.1,0.1,0.1,0.1,0.1,6,6,7,7,7,5
Criminal damage and arson,E07000064,Rother,Sussex,0.1,0.1,0.1,0.2,0.2,0.1,7,7,7,7,8,7
Criminal damage and arson,E07000065,Wealden,Sussex,0.1,0.1,0.1,0.1,0.1,0.1,5,5,6,5,6,5
Criminal damage and arson,E07000229,Worthing,Sussex,0.2,0.2,0.2,0.2,0.2,0.1,9,9,10,10,9,7
Criminal damage and arson,E06000036,Bracknell Forest,Thames Valley,0.1,0.1,0.1,0.1,0.1,0.2,6,7,7,6,6,5
Criminal damage and arson,E06000060,Buckinghamshire,Thames Valley,0.1,0.2,0.1,0.2,0.1,0.1,7,7,7,7,7,6
Criminal damage and arson,E07000177,Cherwell,Thames Valley,0.1,0.2,0.2,0.2,0.1,0.1,8,9,10,7,7,6
Criminal damage and arson,E06000042,Milton Keynes,Thames Valley,0.3,0.2,0.2,0.3,0.2,0.2,10,10,10,10,10,8
Criminal damage and arson,E07000178,Oxford,Thames Valley,0.3,0.2,0.3,0.2,0.2,0.2,11,10,9,10,9,8
Criminal damage and arson,E06000038,Reading,Thames Valley,0.2,0.3,0.2,0.3,0.2,0.2,10,11,11,11,11,9
Criminal damage and arson,E06000039,Slough,Thames Valley,0.2,0.2,0.3,0.2,0.2,0.2,11,11,12,12,10,9
Criminal damage and arson,E07000179,South Oxfordshire,Thames Valley,0.1,0.1,0.1,0.1,0.1,0.1,6,6,7,6,7,5
Criminal damage and arson,E07000180,Vale of White Horse,Thames Valley,0.1,0.1,0.1,0.1,0.1,0.1,6,6,6,6,6,6
Criminal damage and arson,E06000037,West Berkshire,Thames Valley,0.1,0.2,0.2,0.2,0.2,0.2,7,8,9,9,9,6
Criminal damage and arson,E07000181,West Oxfordshire,Thames Valley,0.1,0.1,0.1,0.1,0.1,0.1,5,5,5,5,6,5
Criminal damage and arson,E06000040,Windsor and Maidenhead,Thames Valley,0.1,0.1,0.1,0.1,0.2,0.1,7,7,7,6,7,6
Criminal damage and arson,E06000041,Wokingham,Thames Valley,0.1,0.1,0.1,0.1,0.1,0.1,5,5,6,6,6,5
Criminal damage and arson,E07000218,North Warwickshire,Warwickshire,0.1,0.2,0.2,0.2,0.2,0.1,7,7,8,7,8,6
Criminal damage and arson,E07000219,Nuneaton and Bedworth,Warwickshire,0.3,0.3,0.2,0.2,0.2,0.2,12,10,10,10,9,8
Criminal damage and arson,E07000220,Rugby,Warwickshire,0.2,0.2,0.2,0.2,0.2,0.1,8,8,8,9,7,6
Criminal damage and arson,E22000359,South Warwickshire,Warwickshire,0.1,0.1,0.1,0.1,0.1,0.1,6,6,7,7,6,5
Criminal damage and arson,E06000019,"Herefordshire, County of",West Mercia,0.1,0.1,0.2,0.1,0.1,0.1,7,7,7,6,6,5
Criminal damage and arson,E22000368,North Worcestershire,West Mercia,0.2,0.2,0.2,0.2,0.2,0.2,8,8,9,8,8,6
Criminal damage and arson,E06000051,Shropshire,West Mercia,0.1,0.1,0.1,0.1,0.1,0.1,6,6,7,7,6,5
Criminal damage and arson,E22000332,South Worcester,West Mercia,0.2,0.2,0.2,0.2,0.1,0.1,8,9,9,9,8,6
Criminal damage and arson,E06000020,Telford and Wrekin,West Mercia,0.2,0.3,0.3,0.2,0.3,0.2,11,10,11,10,9,7
Criminal damage and arson,E08000025,Birmingham,West Midlands,0.2,0.2,0.2,0.2,0.2,0.2,9,10,9,9,9,5
Criminal damage and arson,E08000026,Coventry,West Midlands,0.2,0.2,0.2,0.2,0.2,0.2,10,10,9,9,8,5
Criminal damage and arson,E08000027,Dudley,West Midlands,0.2,0.2,0.2,0.2,0.2,0.1,8,8,8,8,7,4
Criminal damage and arson,E08000028,Sandwell,West Midlands,0.2,0.2,0.2,0.2,0.2,0.2,8,9,10,9,9,5
Criminal damage and arson,E08000029,Solihull,West Midlands,0.1,0.1,0.1,0.1,0.1,0.1,7,7,7,7,6,4
Criminal damage and arson,E08000030,Walsall,West Midlands,0.2,0.2,0.2,0.2,0.2,0.2,10,9,10,10,9,6
Criminal damage and arson,E08000031,Wolverhampton,West Midlands,0.1,0.2,0.2,0.2,0.2,0.2,9,9,9,9,9,5
Criminal damage and arson,E08000032,Bradford,West Yorkshire,0.3,0.4,0.4,0.4,0.4,0.4,14,15,16,15,14,13
Criminal damage and arson,E08000033,Calderdale,West Yorkshire,0.3,0.3,0.3,0.2,0.2,0.3,12,14,13,11,11,11
Criminal damage and arson,E08000034,Kirklees,West Yorkshire,0.2,0.3,0.3,0.4,0.3,0.3,11,12,12,12,11,9
Criminal damage and arson,E08000035,Leeds,West Yorkshire,0.3,0.3,0.3,0.4,0.3,0.3,13,15,15,14,13,11
Criminal damage and arson,E08000036,Wakefield,West Yorkshire,0.3,0.3,0.3,0.3,0.3,0.3,12,13,13,13,13,11
Criminal damage and arson,E06000030,Swindon,Wiltshire,0.2,0.2,0.1,0.1,0.2,0.1,11,12,11,9,9,6
Criminal damage and arson,E06000054,Wiltshire,Wiltshire,0.1,0.1,0.1,0.1,0.1,0.1,7,7,8,8,7,5
Other crimes against society,E06000022,Bath and North East Somerset,Avon and Somerset,0.3,0.8,0.4,0.4,0.6,0.5,8,12,11,10,12,10
Other crimes against society,E06000023,"Bristol, City of",Avon and Somerset,1.3,1,1,0.9,1.1,1.1,15,21,21,19,22,21
Other crimes against society,E06000024,North Somerset,Avon and Somerset,0.5,1,0.6,0.8,0.8,0.6,9,13,12,13,15,13
Other crimes against society,E10000027,Somerset,Avon and Somerset,0.4,0.7,0.5,0.5,0.6,0.6,7,12,12,12,13,13
Other crimes against society,E06000025,South Gloucestershire,Avon and Somerset,0.3,0.3,0.4,0.4,0.5,0.5,6,9,9,9,10,10
Other crimes against society,E06000055,Bedford,Bedfordshire,0.5,0.6,0.5,0.8,0.7,0.8,7,8,8,11,13,14
Other crimes against society,E06000056,Central Bedfordshire,Bedfordshire,0.2,0.2,0.3,0.4,0.4,0.4,4,4,5,7,8,8
Other crimes against society,E06000032,Luton,Bedfordshire,0.6,0.7,0.8,1.1,1.1,1.2,8,9,9,13,15,17
Other crimes against society,E07000008,Cambridge,Cambridgeshire,0.8,1.1,1,1.2,1.4,1.5,9,13,12,14,16,16
Other crimes against society,E07000009,East Cambridgeshire,Cambridgeshire,0.3,0.3,0.2,0.3,0.6,0.5,3,4,4,4,7,8
Other crimes against society,E07000010,Fenland,Cambridgeshire,0.5,0.6,0.6,0.6,0.7,0.9,5,7,8,8,10,11
Other crimes against society,E07000011,Huntingdonshire,Cambridgeshire,0.3,0.4,0.5,0.5,0.7,0.8,4,5,6,6,8,10
Other crimes against society,E06000031,Peterborough,Cambridgeshire,0.8,1,1.1,1.3,1.4,1.5,9,13,14,14,16,17
Other crimes against society,E07000012,South Cambridgeshire,Cambridgeshire,0.2,0.2,0.3,0.3,0.5,0.5,3,4,4,4,6,6
Other crimes against society,E06000049,Cheshire East,Cheshire,0.4,0.4,0.6,0.6,0.6,0.6,5,10,18,18,16,15
Other crimes against society,E06000050,Cheshire West and Chester,Cheshire,0.5,0.5,0.8,0.8,0.7,0.6,7,13,21,22,19,17
Other crimes against society,E06000006,Halton,Cheshire,0.9,1,1.3,1.1,1.2,1.1,9,17,28,29,26,23
Other crimes against society,E06000007,Warrington,Cheshire,0.5,0.7,1,1,0.8,0.7,7,14,22,22,19,17
Other crimes against society,E09000001,City of London,City of London, : , : , : , : , : , : , : , : , : , : , : , : 
Other crimes against society,E06000001,Hartlepool,Cleveland,0.8,0.8,0.9,1,1.4,2.1,8,9,9,15,18,22
Other crimes against society,E06000002,Middlesbrough,Cleveland,0.9,1,1,1.1,1.8,2.1,12,12,14,19,27,28
Other crimes against society,E06000003,Redcar and Cleveland,Cleveland,0.4,0.5,0.4,0.6,0.8,0.9,4,5,5,9,13,14
Other crimes against society,E06000004,Stockton-on-Tees,Cleveland,0.6,0.5,0.6,0.8,1,1.4,6,6,7,11,14,18
Other crimes against society,E07000026,Allerdale,Cumbria,0.4,0.3,0.6,0.5,0.4,0.5,6,5,7,11,12,12
Other crimes against society,E07000027,Barrow-in-Furness,Cumbria,0.7,0.7,0.6,1.1,0.7,0.7,8,8,8,14,14,15
Other crimes against society,E07000028,Carlisle,Cumbria,0.6,0.5,0.7,0.7,0.7,0.7,9,8,10,14,16,15
Other crimes against society,E07000029,Copeland,Cumbria,0.5,0.3,0.4,0.4,0.4,0.4,7,5,6,10,14,12
Other crimes against society,E07000030,Eden,Cumbria,0.3,0.4,0.3,0.4,0.4,0.4,6,5,5,6,8,8
Other crimes against society,E07000031,South Lakeland,Cumbria,0.3,0.3,0.4,0.5,0.3,0.5,4,4,4,7,8,8
Other crimes against society,E07000032,Amber Valley,Derbyshire,0.4,0.4,0.4,0.5,0.7,1,4,4,3,5,9,11
Other crimes against society,E07000033,Bolsover,Derbyshire,0.5,0.5,0.4,0.7,1,1.3,4,4,3,5,9,12
Other crimes against society,E07000034,Chesterfield,Derbyshire,0.6,0.8,0.9,0.9,1,1.5,6,6,7,8,14,14
Other crimes against society,E06000015,Derby,Derbyshire,0.8,1.1,1.1,1.2,1.4,1.8,8,8,9,11,18,20
Other crimes against society,E07000035,Derbyshire Dales,Derbyshire,0.4,0.4,0.5,0.6,0.8,0.9,4,3,3,4,7,9
Other crimes against society,E07000036,Erewash,Derbyshire,0.5,0.4,0.5,0.5,0.7,1.1,4,4,4,5,10,11
Other crimes against society,E07000037,High Peak,Derbyshire,0.6,0.4,0.4,0.6,0.6,1.2,5,4,3,4,9,11
Other crimes against society,E07000038,North East Derbyshire,Derbyshire,0.3,0.3,0.3,0.5,0.5,1.1,2,2,2,3,6,9
Other crimes against society,E07000039,South Derbyshire,Derbyshire,0.4,0.5,0.5,0.6,0.7,0.9,3,4,3,4,8,10
Other crimes against society,E06000052,Cornwall,Devon and Cornwall,0.4,0.3,0.5,0.5,0.5,0.8,4,5,6,6,6,7
Other crimes against society,E22000362,East and Mid Devon,Devon and Cornwall,0.3,0.3,0.4,0.4,0.4,0.6,3,3,5,6,6,6
Other crimes against society,E07000041,Exeter,Devon and Cornwall,0.9,1,1.5,1.7,1.2,1.5,9,10,13,13,12,12
Other crimes against society,E06000053,Isles of Scilly,Devon and Cornwall,0.1,0.9,0.6,0.8,0.9,0.3,5,4,2,3,4,1
Other crimes against society,E07000043,North Devon,Devon and Cornwall,0.6,0.5,0.6,0.7,0.6,1,6,6,7,7,7,8
Other crimes against society,E06000026,Plymouth,Devon and Cornwall,0.7,0.8,0.9,1,1,1.5,9,11,12,13,13,15
Other crimes against society,E22000364,South Devon and Dartmoor,Devon and Cornwall,0.3,0.4,0.5,0.6,0.5,0.7,3,4,6,7,6,6
Other crimes against society,E06000027,Torbay,Devon and Cornwall,0.6,0.7,0.9,1.1,1,1.3,8,9,12,13,12,13
Other crimes against society,E06000028,Bournemouth,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Other crimes against society,E06000058,"Bournemouth, Christchurch and Poole",Dorset,0.5,0.5,0.5,0.6,0.6,0.5,6,7,7,9,9,9
Other crimes against society,E06000059,Dorset,Dorset,0.4,0.4,0.5,0.5,0.4,0.3,4,5,5,6,6,6
